composition,temperature,Al_frac,Co_frac,Cr_frac,E_fcc,E_hcp,E_dhcp,lattice_param,volume,natoms,gamma_ISF,gamma_ESF,gamma_Twin
Comp14_Al34_Co33_Cr33,100,0.3400,0.3300,0.3300,-4.07934063,-3.91282671,-3.93930188,3.72370506,11152.68855158,864,15533.8605,12384.5880,7766.9302
Comp14_Al34_Co33_Cr33,350,0.3400,0.3300,0.3300,-4.05686517,-3.98650915,-4.04995795,3.74907923,11382.23650162,864,755.8495,2302.6722,377.9248
Comp14_Al34_Co33_Cr33,550,0.3400,0.3300,0.3300,-4.02726161,-4.04292061,-4.11327671,3.77341743,11605.35165867,864,-9291.5185,-5068.6383,-4645.7593
Comp15_Al50_Co25_Cr25,100,0.5000,0.2500,0.2500,-3.87110758,-3.75385055,-3.74728126,3.73026992,11211.77890096,864,13687.1859,10083.8548,6843.5929
Comp15_Al50_Co25_Cr25,350,0.5000,0.2500,0.2500,-3.86210362,-3.81996577,-3.81245005,3.75415691,11428.54687293,864,5418.8529,3859.0861,2709.4265
Comp15_Al50_Co25_Cr25,550,0.5000,0.2500,0.2500,-3.84458707,-3.83340737,-3.86108624,3.78836451,11743.81035934,864,-1768.2359,-584.5823,-884.1179
Comp16_Al25_Co50_Cr25,100,0.2500,0.5000,0.2500,-4.21068455,-4.09944105,-4.12548147,3.69240566,10873.81584612,864,9612.0982,7943.5046,4806.0491
Comp16_Al25_Co50_Cr25,350,0.2500,0.5000,0.2500,-4.19069746,-4.13683153,-4.14364332,3.71862076,11107.06772325,864,5233.7844,4114.7554,2616.8922
Comp16_Al25_Co50_Cr25,550,0.2500,0.5000,0.2500,-4.16560279,-4.16075555,-4.18513676,3.73084624,11216.97635844,864,-2158.5280,-945.3577,-1079.2640
Comp17_Al25_Co25_Cr50,100,0.2500,0.2500,0.5000,-4.22184574,-4.12586897,-4.07542039,3.75700906,11454.61453525,864,15955.6136,10592.3956,7977.8068
Comp17_Al25_Co25_Cr50,350,0.2500,0.2500,0.5000,-4.20190926,-4.17335559,-4.16966798,3.78024660,11668.47621299,864,3470.1934,2503.4189,1735.0967
Comp17_Al25_Co25_Cr50,550,0.2500,0.2500,0.5000,-4.18044744,-4.22158708,-4.22860445,3.80646382,11912.93765536,864,-5112.0832,-3647.8309,-2556.0416
Comp18_Al40_Co40_Cr20,100,0.4000,0.4000,0.2000,-3.96186544,-3.86037427,-3.91219415,3.67480721,10719.07795953,864,5657.4146,5718.5944,2828.7073
Comp18_Al40_Co40_Cr20,350,0.4000,0.4000,0.2000,-3.95305825,-3.94910821,-3.95866019,3.69479960,10894.97945995,864,-631.1593,-204.3192,-315.5796
Comp18_Al40_Co40_Cr20,550,0.4000,0.4000,0.2000,-3.94598215,-3.96460615,-3.95563220,3.70861052,11017.61086450,864,-1079.1674,-1060.2653,-539.5837
Comp19_Al40_Co20_Cr40,100,0.4000,0.2000,0.4000,-3.98162297,-3.80728192,-3.88698982,3.78041822,11670.06549398,864,10184.6310,9783.0591,5092.3155
Comp19_Al40_Co20_Cr40,350,0.4000,0.2000,0.4000,-3.95894776,-3.91246764,-3.95209076,3.80433434,11892.95521709,864,728.7160,1599.2574,364.3580
Comp19_Al40_Co20_Cr40,550,0.4000,0.2000,0.4000,-3.92944259,-3.95574050,-3.97515131,3.81448645,11988.42086576,864,-4831.7972,-3110.8764,-2415.8986
Comp20_Al20_Co40_Cr40,100,0.2000,0.4000,0.4000,-4.34909006,-4.26123295,-4.27503414,3.74455555,11341.08443816,864,8123.4575,6471.0688,4061.7288
Comp20_Al20_Co40_Cr40,350,0.2000,0.4000,0.4000,-4.32391281,-4.32115444,-4.31849030,3.76644691,11541.15574756,864,587.9206,368.7274,293.9603
Comp20_Al20_Co40_Cr40,550,0.2000,0.4000,0.4000,-4.30149187,-4.34704447,-4.35507413,3.77519931,11621.80023509,864,-5782.5972,-4120.3077,-2891.2986
Comp21_Al60_Co20_Cr20,100,0.6000,0.2000,0.2000,-3.75868575,-3.69065087,-3.67520783,3.73979686,11297.90159279,864,9180.3088,6460.6528,4590.1544
Comp21_Al60_Co20_Cr20,350,0.6000,0.2000,0.2000,-3.76249128,-3.72887165,-3.73123939,3.75539953,11439.89914304,864,3408.3617,2620.8283,1704.1809
Comp21_Al60_Co20_Cr20,550,0.6000,0.2000,0.2000,-3.74260629,-3.74515845,-3.73274550,3.77764178,11644.37197101,864,1062.8002,462.6318,531.4001
